Date,source,Author,Twitter.Retweet,Twitter.Followers,Twitter.Following,Hashtags,in_reply_to_screen_name,in_reply_to_user_id,reply_count,favorite_count,user_location,user_verified,user_listed_count,user_favourites_count,user_geo_enabled,Snippet
4/7/2019 9:04,Twitter Web Client,redostoneage,1,11009,7962,"[{'text': 'SundayMorning', 'indices': [123, 137]}]",,,NULL,0,Corrupt City of Chicago,FALSE,517,37853,TRUE,"RT @redostoneage: No, President Trump Did Not Refer To Asylum Seekers As Animals. It Was Fake News #SundayMorning #…"
4/7/2019 8:49,WordPress.com,HockeyDraft,0,810,210,[],,,NULL,0,Canada,FALSE,17,219,FALSE,Lightning: Tampa Ties Season Wins Record with Victory over Boston
4/7/2019 8:49,Twitter for iPad,hotdogtanner,27,460,1222,[],,,NULL,0,"Boston, MA",FALSE,10,25449,TRUE,"RT @NHLBruins: ""Obviously that's the best time of the year to play hockey. You're playing for something special."" 📝 B's looking forward to…"
4/7/2019 8:48,Twitter Web Client,redostoneage,1,11009,7962,[],,,NULL,2,Corrupt City of Chicago,FALSE,517,37853,TRUE,"No, President Trump Did Not Refer To Asylum Seekers As Animals. It Was Fake News"
4/7/2019 8:45,Twitter Web Client,JerryeSumrall,0,1291,872,[],,,NULL,0,"Spanish Fort, AL",FALSE,36,51,FALSE,Bufo toad kills another Florida dog as poisonous invader leaps north
4/7/2019 8:38,Twitter for iPhone,TampaTravelGuru,0,273,465,[],,,NULL,0,"Tampa, Florida",FALSE,21,11646,TRUE,Tampa Bay Lightning will be focus of hardcover coffee table book
4/7/2019 8:36,Twitter for iPad,WhartonCCC,1,939,516,[],,,NULL,0,"Wharton High School, Tampa, FL",FALSE,69,24167,TRUE,RT @MEPHillsborough: Migrant Parents Graduate From Parent School Partnership Program
4/7/2019 8:28,Twitter Web App,Briar_rose23,0,164,1289,[],,,NULL,0,,FALSE,6,13409,FALSE,Lightning tie NHL wins record with victory against Bruins via @NHLdotcom
4/7/2019 8:26,Twitter Web Client,BN9,2,372245,333,[],,,NULL,0,Tampa Bay area,TRUE,1745,1154,TRUE,RT @bn9weather: Temperatures will be above-normal Sunday and Monday. The highest rain chance of the week is on Tuesday. We will have some r…
4/7/2019 8:22,Twitter for iPhone,gnanagenie,19,388,1638,"[{'text': 'Tampa', 'indices': [59, 65]}]",,,NULL,0,"Seattle, WA",FALSE,2,8402,FALSE,"RT @trailhead: 🗞 Spread the news! Free one-day workshop in #Tampa for Salesforce and Trailhead newbies! Get an overview of Salesforce, an i…"
4/7/2019 8:17,SocialNewsDesk,bn9weather,2,138336,661,[],,,NULL,12,"Tampa Bay, Florida",TRUE,824,7605,FALSE,Temperatures will be above-normal Sunday and Monday. The highest rain chance of the week is on Tuesday. We will hav…
4/7/2019 8:15,Facebook,nightingalern,0,8038,6535,[],,,NULL,0,,FALSE,145,107296,TRUE,Bufo toad kills another Florida dog as poisonous invader leaps north
4/7/2019 8:09,Twitter for iPhone,Jidgettewynn,0,1817,5002,[],Jidgettewynn,2532028403,NULL,0,Tampa FL and MD working Farm,FALSE,16,40463,TRUE,@heathergtv @KamalaHarris @AOC @SenateDems @HouseDemocrats @kylegriffin1 @HouseDemWomen FL is a huge factor with Ta…
4/7/2019 8:07,Twitter for iPhone,Schmoofy,0,4869,465,[],,,NULL,21,That's Proprietary,FALSE,87,30322,TRUE,I’ve clicked at least 12 articles on the Tampa Bay Times website and haven’t hit a pay wall yet. Do they even *KNOW…
4/7/2019 8:00,Hootsuite Inc.,TheTampaCC,0,5164,576,[],,,NULL,1,"Tampa, Florida",FALSE,110,7614,TRUE,Beat the buzzer on Tourney Town and join the last day of fun! Day 3⃣ of this FREE @NCAAWBB fan festival will featur…
